Order_ID,Supplier_Name,Product_Name,Order_Quantity,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Unit_Cost,Total_Cost,Currency,Shipment_Method,Shipment_Status,Warehouse_Location,Inventory_Level,Reorder_Level,Lead_Time_Days,Delay_Days,Quality_Check,Returned_Quantity,Supplier_Rating,Payment_Terms,Payment_Status,Order_Priority,Currency_Conversion_Rate,Supplier_Contact
ORD100000,Nova Supply Co.,Industrial Paint,500,1/15/2024,4/15/2024,26/02/2024,188.21,94105,EUR,Rail,Cancelled,New York,0,5,7,5,Failed,1,3,Net 60,Unpaid,High,0.86,-1788
ORD100001,Nova Supply Co.,Rubber Tires,50,15/02/2024,4/15/2024,1/24/2024,250.22,43070.6,EUR,Sea,Cancelled,New York,50,15,10,0,Passed,0,1,Net 60,Paid,High,0.86,-1210
ORD100002,Nova Supply Co.,Electronic Components,100,1/15/2024,1/25/2024,26/02/2024,250.22,43070.6,USD,Road,Delayed,New York,0,15,5,0,Failed,0,4,COD,Paid,High,0.86,-1210
ORD100003,Nova Supply Co.,Industrial Paint,10,4/5/2024,4/15/2024,4/18/2024,299.93,2999.3,USD,Rail,In Transit,Houston,50,10,6,1,Passed,0,3,COD,Unpaid,High,0.85,-1788
ORD100004,Global Supplies Inc.,Rubber Tires,500,1/15/2024,1/25/2024,26/02/2024,250.22,43070.6,EUR,Road,Delivered,New York,0,10,3,5,Failed,1,4,Net 60,Paid,Medium,0.85,-1210
ORD100005,Sunrise Traders,Plastic Sheets,50,1/15/2024,25/02/2024,4/18/2024,250.22,43070.6,USD,Sea,Shipped,Los Angeles,0,5,7,1,Passed,1,3,Net 60,Paid,Low,0.85,-1503
ORD100006,Nova Supply Co.,Packaging Boxes,200,1/15/2024,25/02/2024,1/24/2024,30.45,6090,USD,Air,Delivered,Chicago,0,10,3,2,Passed,1,3,COD,Paid,High,1,-1210
ORD100007,Sunrise Traders,Steel Rods,500,4/5/2024,25/02/2024,1/24/2024,250.22,43070.6,USD,Air,Cancelled,Chicago,10,15,7,2,Passed,1,3,COD,Paid,High,0.86,-1210
ORD100008,Nova Supply Co.,Industrial Paint,50,1/15/2024,25/02/2024,26/02/2024,301.16,15058,USD,Sea,In Transit,Houston,50,5,3,1,Passed,1,4,Net 30,Unpaid,High,0.86,-1503
ORD100009,Nova Supply Co.,Industrial Paint,50,2024.03.10,25/02/2024,4/18/2024,250.22,43070.6,EUR,Rail,Delivered,New York,50,10,5,2,Passed,0,3,COD,Paid,High,0.75,-1788
ORD100010,Prime Logistics,Plastic Sheets,500,1/15/2024,2024.03.20,2024.03.22,250.22,43070.6,USD,Air,Delayed,Houston,0,20,3,0,Failed,2,4,COD,Unpaid,Medium,1,-1503
ORD100011,Sunrise Traders,Packaging Boxes,100,2024.03.10,4/15/2024,2024.03.22,485,48500,USD,Rail,In Transit,Houston,50,10,6,2,Passed,1,2,Net 60,Unpaid,Low,1,-1788
ORD100012,Sunrise Traders,Rubber Tires,200,4/5/2024,25/02/2024,1/24/2024,416.47,83294,USD,Rail,In Transit,New York,0,15,5,0,Passed,1,3,Net 30,Paid,Low,1,-1503
ORD100013,Acme Corp.,Industrial Paint,167,1/15/2024,4/15/2024,4/18/2024,107.35,43070.6,EUR,Road,In Transit,New York,100,15,10,2,Failed,1,4,Net 60,Pending,High,0.85,-1788
ORD100014,Acme Corp.,Rubber Tires,50,2024.03.10,1/25/2024,1/24/2024,92.14,4607,USD,Road,Delayed,Los Angeles,10,5,7,1,Failed,1,4,Net 60,Paid,High,0.75,-1503
ORD100015,Nova Supply Co.,Packaging Boxes,500,1/15/2024,4/15/2024,26/02/2024,92.93,46465,USD,Rail,Delayed,Houston,100,15,7,2,Passed,0,1,Net 30,Paid,High,0.86,-1210
ORD100016,Prime Logistics,Plastic Sheets,10,4/5/2024,1/25/2024,26/02/2024,153.16,1531.6,EUR,Road,Shipped,Houston,100,10,7,1,Passed,2,1,COD,Unpaid,High,0.85,-1210
ORD100017,Nova Supply Co.,Steel Rods,500,4/5/2024,4/15/2024,1/24/2024,263.09,131545,USD,Rail,shipped,New York,36,5,3,0,Failed,1,4,COD,Paid,High,0.85,-1210
ORD100018,Blue Ocean Ltd.,Packaging Boxes,167,15/02/2024,25/02/2024,26/02/2024,216.82,43070.6,USD,Sea,In Transit,Los Angeles,10,15,10,5,Passed,1,3,Net 30,Paid,Medium,0.86,-1788
ORD100019,Blue Ocean Ltd.,Industrial Paint,100,4/5/2024,4/15/2024,1/24/2024,146.68,14668,USD,Sea,Pending,New York,50,10,5,2,Passed,1,3,COD,Paid,High,0.85,-1503
ORD100020,Prime Logistics,Packaging Boxes,10,4/5/2024,4/15/2024,1/24/2024,306.51,3065.1,USD,Sea,Pending,New York,0,10,5,1,Failed,1,5,COD,Paid,Low,0.75,-1503
ORD100021,Prime Logistics,Electronic Components,10,1/15/2024,2024.03.20,4/18/2024,250.22,43070.6,USD,Road,Delayed,Los Angeles,0,20,10,5,Passed,2,3,COD,Pending,High,0.86,-1788
ORD100022,Blue Ocean Ltd.,Plastic Sheets,500,1/15/2024,25/02/2024,1/24/2024,250.22,43070.6,USD,Sea,Delayed,Houston,0,5,7,1,Failed,1,4,COD,Paid,Medium,0.86,-1210
ORD100023,Prime Logistics,Rubber Tires,10,1/15/2024,25/02/2024,2024.03.22,184.13,1841.3,EUR,Air,Shipped,Houston,36,15,3,0,Failed,2,3,COD,Pending,High,0.86,-1503
ORD100024,Acme Corp.,Plastic Sheets,200,1/15/2024,1/25/2024,2024.03.22,250.22,43070.6,USD,Sea,shipped,Houston,0,20,6,2,Failed,1,2,COD,Unpaid,High,1,-1503
ORD100025,Nova Supply Co.,Industrial Paint,167,15/02/2024,25/02/2024,26/02/2024,250.22,43070.6,USD,Road,Delivered,Miami,100,10,7,2,Passed,1,3,Net 30,Paid,High,0.86,-1503
ORD100026,Nova Supply Co.,Rubber Tires,200,1/15/2024,4/15/2024,26/02/2024,250.22,43070.6,EUR,Sea,Pending,Los Angeles,50,10,6,5,Passed,1,5,Net 30,Pending,Medium,1,-1788
ORD100027,Nova Supply Co.,Copper Wire,10,15/02/2024,4/15/2024,2024.03.22,250.22,43070.6,USD,Rail,Delayed,Houston,0,20,7,1,Failed,1,2,Net 30,Pending,High,0.86,-1210
ORD100028,Nova Supply Co.,Rubber Tires,10,1/15/2024,25/02/2024,1/24/2024,250.22,43070.6,EUR,Sea,Shipped,Chicago,20,10,10,5,Passed,0,1,Net 60,Paid,High,0.75,-1503
