VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4RJXN66R,Snohomish,Everett,WA,98204,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,21,261311557,POINT (-122.2507211 47.8976713),PUGET SOUND ENERGY INC,53061041809
KNDJX3AEXG,King,Renton,WA,98058,2016,KIA,SOUL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,11,210641315,POINT (-122.1476337 47.4438471),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025804
5YJ3E1EA3L,King,Seattle,WA,98125,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,46,124517347,POINT (-122.304356 47.715668),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000102
1G1RC6S5XH,Kitsap,Port Orchard,WA,98367,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,26,7832933,POINT (-122.6530052 47.4739066),PUGET SOUND ENERGY INC,53035092902
5UXTA6C09P,Snohomish,Monroe,WA,98272,2023,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,39,235249262,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052203
1FMCU0EZXN,Yakima,Moxee,WA,98936,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,15,197264322,POINT (-120.3552229 46.550869),PACIFICORP,53077001702
5YJSA1DNXD,Thurston,Olympia,WA,98506,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,22,475076241,POINT (-122.86491 47.07503),PUGET SOUND ENERGY INC,53067010300
1N4AZ0CP8F,Snohomish,Monroe,WA,98272,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,39,187075577,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052206
WP1AE2A21J,Snohomish,Everett,WA,98208,2018,PORSCHE,CAYENNE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,44,122759276,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041606
1N4BZ1BV4N,Snohomish,Everett,WA,98208,2022,NISSAN,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,259974277,POINT (-122.2032349 47.8956271),PUGET SOUND ENERGY INC,53061041704
5YJ3E1EB8J,Snohomish,Mill Creek,WA,98012,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,475227392,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052008
1N4AZ1CP6J,Kitsap,Bremerton,WA,98312,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,35,474183811,POINT (-122.6961203 47.5759584),PUGET SOUND ENERGY INC,53035080700
5YJSA1H2XE,Snohomish,Arlington,WA,98223,2014,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,39,193175517,POINT (-122.11597 48.194109),PUGET SOUND ENERGY INC,53061052701
5YJ3E1EA2L,Kitsap,Port Orchard,WA,98366,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,26,6249078,POINT (-122.6064912 47.5236145),PUGET SOUND ENERGY INC,53035092600
5UXTS1C01M,Thurston,Rochester,WA,98579,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,20,152190328,POINT (-123.0498592 46.8153419),PUGET SOUND ENERGY INC,53067012730
5YJYGDEEXL,King,Renton,WA,98055,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,11,124565731,POINT (-122.2003346 47.4487206),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025805
5YJXCAE28J,King,Auburn,WA,98092,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,47,149766508,POINT (-122.1550193 47.2884536),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031207
5YJSA1E24H,Snohomish,Bothell,WA,98012,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,44,266967277,POINT (-122.206146 47.839957),PUGET SOUND ENERGY INC,53061052005
5UXTS1C06M,King,Seattle,WA,98199,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,0,36,132733793,POINT (-122.394937 47.649547),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005600
YV4BR0CM2M,Kitsap,Bainbridge Island,WA,98110,2021,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,23,138397801,POINT (-122.5305071 47.6400595),PUGET SOUND ENERGY INC,53035091002
5YJ3E1EA3J,King,Seattle,WA,98115,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,46,283964453,POINT (-122.3008235 47.6862671),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002200
5YJXCBE29G,Kitsap,Poulsbo,WA,98370,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,23,6406879,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035091100
1G1FY6S08K,Thurston,Tumwater,WA,98512,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,22,251184825,POINT (-122.957046 46.991391),PUGET SOUND ENERGY INC,53067010910
WBY7Z2C58J,King,Seattle,WA,98199,2018,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,114,0,36,124949870,POINT (-122.394937 47.649547),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005803
1FTVW1EV4P,Thurston,Rochester,WA,98579,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,20,237709454,POINT (-123.0498592 46.8153419),PUGET SOUND ENERGY INC,53067012710
WMZYU7C41J,Kitsap,Poulsbo,WA,98370,2018,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36800,23,110855916,POINT (-122.6368884 47.7469547),PUGET SOUND ENERGY INC,53035090502
KNDCR3LF8P,Snohomish,Monroe,WA,98272,2023,KIA,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,39,254596093,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052203
WBY1Z6C34H,Snohomish,Snohomish,WA,98290,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,44,115260113,POINT (-122.0483457 47.9435765),PUGET SOUND ENERGY INC,53061052401
5YJSA1E23G,Snohomish,Snohomish,WA,98290,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,44,348785223,POINT (-122.0483457 47.9435765),PUGET SOUND ENERGY INC,53061052502
5YJSA1E28H,Thurston,Olympia,WA,98502,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,22,211899019,POINT (-122.943445 47.059252),PUGET SOUND ENERGY INC,53067012002
5YJ3E1EB7K,Stevens,Colville,WA,99114,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,7,278862286,POINT (-117.885418 48.541035),AVISTA CORP,53065950300
JTDKAMFP0M,Yakima,Yakima,WA,98902,2021,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,14,152408714,POINT (-120.530331 46.59534),PACIFICORP,53077000600
5YJ3E1EC3L,Thurston,Yelm,WA,98597,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,2,254928768,POINT (-122.5715761 46.9095798),PUGET SOUND ENERGY INC,53067012531
5YJXCAE20G,King,Seatac,WA,98168,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,33,219998173,POINT (-122.297205 47.486649),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033027300
5YJ3E1EB6K,King,Seattle,WA,98108,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,11,232690629,POINT (-122.3173531 47.5484673),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010402
YV4BR00L4N,Snohomish,Monroe,WA,98272,2022,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,39,264543786,POINT (-121.968385 47.854897),PUGET SOUND ENERGY INC,53061052208
1N4BZ1CP7K,Snohomish,Bothell,WA,98021,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,1,115103796,POINT (-122.2107298 47.7977268),PUGET SOUND ENERGY INC,53061051917
5YJ3E1EB2L,Chelan,Wenatchee,WA,98801,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,12,128897450,POINT (-120.3283376 47.4280056),PUD NO 1 OF CHELAN COUNTY,53007960700
